PNT_ATRISKNOTES_TX,Danger_Label
When crew began to go up in the bucket I asked if shirts were tucked in and the answer was no. I informed them that this is a requirement while working the energized job. They were not aware of this but did tuck their shirts in.,1
"There was not traffic control at this work site, had a discussion with LCS, [NAME] was able to get a D mechanic to flag",1
"THA did an excellent job of noting hazards and necessary mitigations, recommended to crew foreman that their THA include AEP station / line crew activities to ensure everyone on site is aware of work being performed on the jobsite. Notes were included to THA and signed by all parties on site.",0
"Bucket trucks need barricade around chassis and working boom radius, particularly in a crowded neighborhood.",1
"The crew was there and operating efficiently, however, an observer was not stated on the job briefing. As I was observing the crew on this site, an additional worker arrived. Also, the job briefing stated 4 people on site when there were 6 individuals signing in.",1
Witnessed employees unloading trailer without having a coned off area. The team did not use a spotter to help back up while unloading as well. I reached out to District stores manager to see what proper procedures were for unloading trailers. I will send out a reminder to the district stores team about the procedure that was sent to me.,1
"When asking the crew what the triggered temperature for their hydration log was to start being utilized, they were not aware of the specific temperature. Discussed how important this was especially in the coming days with the heat index being about 90 degrees the rest of the week.",0
Mentioned some items in the front passenger seat of the truck that could potentially cause risk or injury if in a wreck that could become projectiles. [NAME] understood this and would keep this in mind in the future.,1
"Appropriate Rescue Equipment was not set off the truck. No Rescue Gloves or Blanket / Insulated Pad was off the truck and ready for a possible Rescue. The LCS was asked about this, and the Job was stopped to get the appropriate Rescue Equipment in place, prior to continuing the work.",0
Was observed a digging bar was left lying on the ground with pointed end elevated about four inches above ground.,1
ONE CREW MEMBER DID NOT HAVE HIS WORK GLOVES ON WHILE PICKING UP DEBRIS AROUND THE POLE. I STOPPED HIM AND ASKED HIM TO PUT GLOVES ON. HE COMPLIED.,0
"[NAME] using an air spade which is habitually over 90 decibels with about 20 of the spade. [NAME] are supplied with hearing protection but were unfamiliar with the tenants of an effective hearing conservation program. This will rogram your s required if the noise levels exceed 99dBA over a TWA of 8 hours and the only effective way to determine this is which a calibrated dosimeter. Part if said program, if required, involves baseline and annual audiograms, which are not done. Note that if the employer recognizes high noise levels then OSHA mandates the employer do noise sampling ( full shift ). I recommended [NAME] push this up the NR safety chain for research and possible action.",0
"[NAME] to repeated use in dirty conditions that underground deals with, the load rating on the first sling was illegible. It was taken out of service and a new sling used.",1
RD - Drop zone was not fully established. crew only put DZ flags in one back when they needed DZ flags in the neighbors back yard also,0
[NAME] was having trouble getting and keeping his trim saw started. I also observed [NAME] drop starting his trim saw. I spoke with [NAME] about this.,0
